"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","29 Sep 2022 12:38:22 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-09 12:38:22,,801096,921384,138712,5937292,,,,,,,1.570,1.210,0.790,1,0,,,,11,2,5,7,0
29-09 12:38:23,9.183,19.896,69.382,0,0,800568,921320,138716,5937620,3946.637,1763.130,0,122.440,0,4.081,2487,3624,1.520,1.210,0.800,2,0,302.018,0,0,11,2,5,7,0
29-09 12:38:24,13.500,16.750,68.498,0,0,801328,920492,138716,5937840,5561.844,1943.946,0,23.999,0,6.000,2320,3392,1.520,1.210,0.800,5,0,229.994,0,0,11,2,5,7,0
29-09 12:38:25,16.502,17.503,65.260,0,0,802400,919420,138716,5937812,4743.697,2018.297,0,3232.475,0,102.015,2729,3776,1.520,1.210,0.800,2,0,158.023,0,0,11,2,5,7,0
29-09 12:38:26,21.235,18.487,59.209,0,0,781700,940072,138716,5937876,34190.409,1800.757,0,3.997,0,0.999,3262,5997,1.520,1.210,0.800,1,0,94.934,0,0,11,2,5,7,0
29-09 12:38:27,7.253,10.005,82.288,0,0,920148,801192,138716,6062796,5652.628,2703.257,0,0,0,0,2200,4917,1.520,1.210,0.800,2,0,52.024,0,0,12,4,5,7,0
29-09 12:38:28,19.501,7.500,72.754,0,0,924500,796644,138732,6062876,3214.170,1802.096,8.000,112.006,2.000,6.000,1408,1915,1.480,1.210,0.800,1,0,74.004,0,0,12,4,5,7,0
29-09 12:38:29,18.502,8.001,72.507,0,0,919980,801148,138732,6062892,4652.470,1944.196,0,20.002,0,5.001,1503,2047,1.480,1.210,0.800,1,0,98.010,0,0,12,4,5,6,0
29-09 12:38:30,13.741,8.494,72.201,4.747,0,922728,797776,139212,6063080,16150.002,13425.857,567.613,419.714,33.977,16.988,1809,2658,1.480,1.210,0.800,2,0,92.937,0,0,12,4,5,8,0
