-- Logs begin at Tue 2022-10-04 16:29:57 UTC, end at Tue 2022-10-04 18:00:15 UTC. --
Oct 04 17:19:15 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 04 17:19:15 ubuntu dstat.sh[75385]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 04 17:19:15 ubuntu dstat.sh[75385]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 04 17:19:15 ubuntu dstat.sh[75385]: 04-10 17:19:15|                   | 768M 1746M  134M 4990M|           |           |           |           |1.13 1.05 0.74|4.0   0    |           |   0     0 | 11    2    6    7    0
Oct 04 17:19:16 ubuntu dstat.sh[75385]: 04-10 17:19:16| 11  19  69   0   0| 769M 1745M  134M 4990M|2860  1592 |   0    10M|   0  63.0 |2396  3487 |1.13 1.05 0.74|2.5   0 290|   0     0 |   0     0 | 11    2    6    7    0
Oct 04 17:19:17 ubuntu dstat.sh[75385]: 04-10 17:19:17| 12  20  68   0   0| 770M 1744M  134M 4990M|4694  1675 |   0    24k|   0  34.5 |2294  3292 |1.13 1.05 0.74|1.0   0 269|   0     0 |   0     0 | 11    2    6    7    0
Oct 04 17:19:18 ubuntu dstat.sh[75385]: 04-10 17:19:18| 18  15  65   0   0| 770M 1744M  134M 4990M|6122  1728 |   0  8192B|   0  2.00 |2329  5523 |1.13 1.05 0.74|1.0   0 107|   0     0 |   0     0 | 11    2    6    7    0
Oct 04 17:19:19 ubuntu dstat.sh[75385]: 04-10 17:19:19| 18  16  65   0   0| 762M 1751M  134M 4991M|3309  1729 |   0    12k|   0  3.00 |2670  4025 |1.20 1.07 0.74|1.0   0 124|   0     0 |   0     0 | 11    2    6    7    0
Oct 04 17:19:20 ubuntu dstat.sh[75385]: 04-10 17:19:20| 15  15  69   0   0| 895M 1618M  134M 5113M|3283  1727 |   0     0 |   0     0 |2817  5265 |1.20 1.07 0.74|  0   0  63|   0     0 |   0     0 | 12    2    6    7    0
Oct 04 17:19:21 ubuntu dstat.sh[75385]: 04-10 17:19:21| 14   7  77   1   0| 900M 1614M  134M 5113M|6316  2703 |8194B  412k|2.00  4.00 |1487  2186 |1.20 1.07 0.74|1.0   0  85|   0     0 |   0     0 | 12    4    6    7    0
Oct 04 17:19:22 ubuntu dstat.sh[75385]: 04-10 17:19:22| 22   4  73   0   0| 904M 1610M  134M 5113M|4072  2018 |   0    20k|   0  5.00 |1165  1458 |1.20 1.07 0.74|2.0   0  27|   0     0 |   0     0 | 12    4    6    6    0
Oct 04 17:19:23 ubuntu dstat.sh[75385]: 04-10 17:19:23| 15  12  71   1   0| 906M 1607M  134M 5113M|  18k   14k|  12k  240k|3.00  17.0 |2171  3266 |1.20 1.07 0.74|2.0   0 176|   0     0 |   0     0 | 12    4    6    8    0
Oct 04 17:19:24 ubuntu dstat.sh[75385]: 04-10 17:19:24| 19   3  72   4   0| 920M 1593M  135M 5113M|7036  1944 | 464k  448k|32.0  19.0 |1173  1598 |1.26 1.08 0.75|1.0   0   0|   0     0 |   0     0 | 12    4    6    8    0
