"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Oct 2022 17:19:15 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-10 17:19:15,,786496,1788060,137544,5110056,,,,,,,1.130,1.050,0.740,1,0,,,,11,2,6,7,0
04-10 17:19:16,10.746,19.743,68.974,0,0,788232,1786084,137548,5110112,3033.862,1727.352,0,10116.206,0,59.978,2415,3454,1.130,1.050,0.740,2,0,284.893,0,0,11,2,6,7,0
04-10 17:19:17,12.001,18.751,68.504,0,0,788304,1785960,137548,5110144,4470.277,1512.094,0,24.001,0,6.000,2173,3050,1.130,1.050,0.740,1,0,248.015,0,0,11,2,6,7,0
04-10 17:19:18,18.499,15.249,65.497,0,0,788572,1785656,137548,5110152,6121.712,1727.919,0,4.000,0,1.000,2330,5519,1.130,1.050,0.740,1,0,105.995,0,0,11,2,6,7,0
04-10 17:19:19,17.501,16.751,64.004,0,0,779016,1795048,137548,5110444,3308.222,1728.116,0,12.001,0,3.000,2689,4077,1.200,1.070,0.740,2,0,126.008,0,0,11,2,6,7,0
04-10 17:19:20,14.249,14.249,70.747,0,0,916840,1656792,137548,5235332,3580.842,1943.914,0,0,0,0,2796,5207,1.200,1.070,0.740,1,0,58.997,0,0,12,2,6,7,0
04-10 17:19:21,14.990,7.495,76.202,0.999,0,922720,1650836,137568,5235348,6015.174,2484.420,7.995,411.738,1.999,3.997,1486,2178,1.200,1.070,0.740,2,0,84.946,0,0,12,4,6,7,0
04-10 17:19:22,22.252,4.000,72.757,0,0,921700,1651836,137568,5235368,4072.407,2018.202,0,24.002,0,6.001,1187,1502,1.200,1.070,0.740,1,0,32.003,0,0,12,4,6,6,0
04-10 17:19:23,15.493,11.995,71.218,0.500,0,928736,1644740,137612,5235368,17875.920,13606.850,11.995,235.893,2.999,15.993,2145,3227,1.200,1.070,0.740,2,0,170.923,0,0,12,4,6,8,0
04-10 17:19:24,19.259,3.251,72.533,3.752,0,942064,1630780,137836,5235772,7040.246,1944.897,464.214,448.207,32.015,19.009,1171,1588,1.260,1.080,0.750,2,0,0,0,0,12,4,6,8,0
04-10 17:19:25,16.509,2.501,73.790,6.754,0,969424,1602524,138284,5236216,3795.046,1728.932,584.315,0,29.016,0,900,1252,1.260,1.080,0.750,1,1,0,0,0,12,4,6,8,0
04-10 17:19:26,20.488,2.748,73.458,2.748,0.250,991808,1579372,138396,5236828,35576.757,1727.017,19.989,1035.411,2.998,10.994,1381,1220,1.260,1.080,0.750,2,0,0,0,0,12,4,6,8,0
04-10 17:19:27,22.498,2.000,71.745,2.750,0,1011764,1558540,138520,5237488,13434.992,11773.117,11.999,3363.748,1.000,284.979,2666,4292,1.260,1.080,0.750,3,0,6.999,0,0,12,6,6,8,0
04-10 17:19:28,15.508,6.503,65.285,11.756,0,1020352,1544584,139672,5241528,14791.854,13476.156,0,20578.927,0,1925.022,10593,18419,1.260,1.080,0.750,1,0,27.014,0,0,12,6,6,8,0
04-10 17:19:29,14.991,5.997,66.462,10.744,0,1025824,1533708,140496,5245932,15047.318,13927.964,0,14955.371,0,1595.080,9598,16405,1.240,1.080,0.750,0,1,27.984,0,0,12,6,6,8,0
04-10 17:19:30,21.017,6.005,70.557,1.251,0,947592,1611388,140640,5246324,8977.281,5107.142,0,1136.922,0,159.129,2384,3780,1.240,1.080,0.750,2,0,82.067,0,0,12,4,6,8,0
04-10 17:19:31,23.499,2.500,73.497,0.250,0,998236,1560736,140644,5246328,3445.838,1511.929,0,331.984,0,12.999,968,1242,1.240,1.080,0.750,1,0,0,0,0,12,4,6,8,0
04-10 17:19:32,24.499,1.250,73.247,0,0,1022168,1536796,140648,5246332,3603.856,1727.931,0,375.985,0,16.999,1053,1319,1.240,1.080,0.750,1,0,2.000,0,0,12,4,5,8,0
04-10 17:19:33,23.078,4.467,69.731,1.737,0,967608,1591204,140784,5246348,4757.566,1500.822,0,7285.736,0,389.102,2204,3099,1.240,1.080,0.750,2,0,10.919,0,0,12,4,5,8,0
04-10 17:19:34,23.424,2.519,72.036,1.259,0,1012412,1546276,140896,5246356,4004.820,1740.963,0,7193.563,0,418.113,2085,2965,1.220,1.080,0.750,1,0,0,0,0,12,4,5,8,0
04-10 17:19:35,24.521,2.002,71.562,1.251,0,1023788,1534788,141004,5246356,4321.756,1905.656,0,7122.189,0,419.364,2041,3039,1.220,1.080,0.750,1,0,0,0,0,12,4,5,8,0
04-10 17:19:36,15.488,14.489,67.450,1.499,0,936020,1622356,141140,5246400,5709.746,3667.268,0,10148.439,0,630.530,3638,5461,1.220,1.080,0.750,1,0,251.812,0,0,12,4,5,8,0
